model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,79,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9319953546896677,0.7236842105263157
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,83,2344,587,0.8109028960817717,0.8707799767171129,0.7591995121680803,0.8717948717948718,0.8697674418604651,0.5184056835909961,0.930859005951237,0.8569693378758703
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TEMİZLENMİŞ,388,72,310,78,0.8846153846153846,0.918918918918919,0.8594594594594596,0.8947368421052632,0.9444444444444444,0.7225916412701,0.8727670861364736,0.8533950617283951
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TEMİZLENMİŞ,372,84,297,75,0.8666666666666667,0.9206349206349206,0.751984126984127,0.90625,0.935483870967742,0.5071185680373717,0.921083321617038,0.7468982630272953
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TEMİZLENMİŞ,111,78,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8716874355957676,0.5657894736842105
XGBoost,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,82,2344,587,0.8160136286201022,0.8741258741258742,0.76617686111357,0.8761682242990654,0.872093023255814,0.5323805848166832,0.9278774991156642,0.8556213894237891
XGBoost,WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,69,310,78,0.8846153846153846,0.918918918918919,0.8594594594594596,0.8947368421052632,0.9444444444444444,0.7225916412701,0.8995206183073168,0.8572530864197532
XGBoost,WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,69,297,75,0.8933333333333333,0.9365079365079364,0.8015873015873016,0.921875,0.9516129032258064,0.6066837319190546,0.9151754494236752,0.7369727047146402
XGBoost,WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,66,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8884530338018091,0.6052631578947368
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,109,2344,587,0.8143100511073254,0.8728121353558926,0.7644817774571262,0.8758782201405152,0.8697674418604651,0.5290236154268385,0.9329576959345594,0.8616649385276256
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,97,310,78,0.8717948717948718,0.9090909090909092,0.8458498023715415,0.8928571428571429,0.925925925925926,0.6932601734627976,0.8894769785512742,0.8503086419753086
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,88,297,75,0.8933333333333333,0.9375,0.7869318181818181,0.9090909090909092,0.967741935483871,0.5896569472475084,0.9105302009569468,0.7369727047146402
XGBoost,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,87,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8828139360574481,0.5921052631578947
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,98,2344,587,0.8160136286201022,0.875,0.7633064516129032,0.8709677419354839,0.8790697674418605,0.526722134345913,0.9308146538239882,0.8548807584061621
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,80,310,78,0.8846153846153846,0.918918918918919,0.8594594594594596,0.8947368421052632,0.9444444444444444,0.7225916412701,0.8715524396662614,0.849537037037037
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,96,297,75,0.8933333333333333,0.9375,0.7869318181818181,0.9090909090909092,0.967741935483871,0.5896569472475084,0.9181866493057128,0.749379652605459
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,91,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8654217714353665,0.5526315789473684
