model,k,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,20,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,32,2344,587,0.8330494037478705,0.8943965517241379,0.7480112839921502,0.8333333333333334,0.9651162790697675,0.5386575069575127,0.9078328633393815,0.8386461264997779
TabPFN,20,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,32,2344,587,0.8364565587734242,0.896551724137931,0.7531539108494534,0.8353413654618473,0.9674418604651163,0.5493886101845299,0.9078426009974183,0.8399051992297437
TabPFN,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,28,2344,587,0.8194207836456558,0.8865096359743041,0.7224214846538187,0.8214285714285714,0.9627906976744186,0.4948622810102983,0.9008786552194719,0.8170937638868315
TabPFN,20,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,29,2344,587,0.8364565587734242,0.8961038961038961,0.7560519480519481,0.8380566801619433,0.9627906976744186,0.5494194597958071,0.9194649541113278,0.8471041327210783
TabPFN,20,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,25,2344,587,0.8347529812606473,0.895361380798274,0.7513244150954932,0.8350100603621731,0.9651162790697675,0.5440202362025011,0.9172604339902088,0.846052436676048
TabPFN,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,37,2344,587,0.8330494037478705,0.8941684665226782,0.7495035881000488,0.8346774193548387,0.9627906976744186,0.5387238077875318,0.9169211762505602,0.8541697526292401
TabPFN,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,32,2344,587,0.8330494037478705,0.8946236559139785,0.7464921558258417,0.832,0.9674418604651163,0.538685353945705,0.8964197326867526,0.812472226336839
TabPFN,20,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8717948717948718,0.9122807017543859,0.8370927318295739,0.8666666666666667,0.9629629629629629,0.6897247020435424,0.8508684268302507,0.8229166666666667
TabPFN,20,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8461538461538461,0.896551724137931,0.7982758620689655,0.8387096774193549,0.9629629629629629,0.62441729108427,0.8701786399320446,0.841820987654321
TabPFN,20,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814815,0.7556542691506458,0.8646172009284124,0.8603395061728395
TabPFN,20,EMBEDDED,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8846153846153846,0.9203539823008849,0.8555258283597448,0.8813559322033898,0.9629629629629629,0.7217951267331445,0.8677413409605662,0.8472222222222222
TabPFN,20,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,34,310,78,0.8974358974358975,0.9310344827586207,0.8655172413793104,0.8709677419354839,1.0,0.762000762001143,0.8870401530855825,0.8734567901234569
TabPFN,20,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,31,310,78,0.8846153846153846,0.9203539823008849,0.8555258283597448,0.8813559322033898,0.9629629629629629,0.7217951267331445,0.8652951100131637,0.8572530864197531
TabPFN,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,27,310,78,0.8589743589743589,0.9026548672566371,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.8692956551622036,0.8595679012345678
TabPFN,20,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TEMİZLENMİŞ,388,26,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814815,0.724581776385293,0.8723113357860365,0.8395061728395061
TabPFN,20,WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,25,310,78,0.8589743589743589,0.9026548672566371,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.8732817631981341,0.8449074074074074
TabPFN,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,36,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814815,0.724581776385293,0.8588972280934553,0.8595679012345679
TabPFN,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,28,310,78,0.8974358974358975,0.9285714285714286,0.8733766233766234,0.896551724137931,0.9629629629629629,0.7535992817105361,0.8982562885189368,0.8626543209876543
TabPFN,20,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,20,297,75,0.8533333333333334,0.9185185185185185,0.5925925925925926,0.8493150684931506,1.0,0.3614745588437089,0.9453541561771613,0.8101736972704715
TabPFN,20,FILTER_MUTUAL_INFO,PAH,TEMİZLENMİŞ,372,20,297,75,0.84,0.9117647058823529,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.9117738304163743,0.7096774193548387
TabPFN,20,WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,20,297,75,0.8266666666666667,0.9051094890510949,0.45255474452554745,0.8266666666666667,1.0,0.0,0.9355575151783251,0.7692307692307693
TabPFN,20,EMBEDDED,PAH,TEMİZLENMİŞ,372,20,297,75,0.8266666666666667,0.9051094890510949,0.45255474452554745,0.8266666666666667,1.0,0.0,0.9292629942706565,0.7456575682382134
TabPFN,20,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,34,297,75,0.84,0.9117647058823529,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.9402681889968978,0.8014888337468983
TabPFN,20,FILTER_ANOVA + EMBEDDED,PAH,TEMİZLENMİŞ,372,32,297,75,0.8533333333333334,0.9185185185185185,0.5925925925925926,0.8493150684931506,1.0,0.3614745588437089,0.9349262799361235,0.7754342431761786
TabPFN,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,36,297,75,0.84,0.9117647058823529,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.938493718832903,0.7642679900744417
TabPFN,20,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TEMİZLENMİŞ,372,36,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9341431919057044,0.7555831265508685
TabPFN,20,WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,26,297,75,0.8266666666666667,0.9051094890510949,0.45255474452554745,0.8266666666666667,1.0,0.0,0.9342905033983593,0.7642679900744418
TabPFN,20,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,37,297,75,0.8533333333333334,0.9185185185185185,0.5925925925925926,0.8493150684931506,1.0,0.3614745588437089,0.9372734092448682,0.7841191066997518
TabPFN,20,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,41,297,75,0.84,0.9104477611940298,0.5802238805970149,0.8472222222222222,0.9838709677419355,0.266028755201161,0.9452815681291102,0.7766749379652605
TabPFN,20,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9374755470119651,0.763157894736842
TabPFN,20,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9577573120305722,0.8157894736842105
TabPFN,20,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9510289526706339,0.7894736842105263
TabPFN,20,EMBEDDED,CFTR,TEMİZLENMİŞ,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9324543541189185,0.7236842105263158
TabPFN,20,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,33,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8712133004865612,0.6710526315789473
TabPFN,20,FILTER_ANOVA + EMBEDDED,CFTR,TEMİZLENMİŞ,111,34,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9381470976835158,0.75
TabPFN,20,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,29,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9542770203923858,0.8026315789473684
TabPFN,20,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TEMİZLENMİŞ,111,30,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9544991666671636,0.8026315789473684
