model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.7359454855195912,0.8064918851435705,0.6954711436441713,0.8706199460916442,0.7511627906976744,0.4088368055508429,0.8759453347898123,0.7672048585394756
TabNet,WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,56,310,78,0.7435897435897436,0.8076923076923077,0.7115384615384616,0.84,0.7777777777777778,0.427617987059879,0.8971582192458321,0.8074845679012346
TabNet,WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,57,297,75,0.8266666666666667,0.900763358778626,0.6082764162314183,0.855072463768116,0.9516129032258064,0.2544776486548563,0.8330061152089452,0.6004962779156328
TabNet,WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,55,88,23,0.8260869565217391,0.9047619047619048,0.4523809523809524,0.8260869565217391,1.0,0.0,0.9200274535341236,0.6973684210526316
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,69,2344,587,0.7427597955706985,0.810062893081761,0.7058230032691127,0.8821917808219178,0.7488372093023256,0.4335215855691228,0.8851655211312079,0.7896163531328693
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,73,310,78,0.7564102564102564,0.8429752066115702,0.6500590318772137,0.7611940298507462,0.9444444444444444,0.3683547343418786,0.8222612625416409,0.7615740740740741
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,70,297,75,0.8533333333333334,0.916030534351145,0.6685415829650462,0.8695652173913043,0.967741935483871,0.3843131836828443,0.9085992534125896,0.6687344913151365
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,73,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9191705295571896,0.6973684210526315
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,60,2344,587,0.6950596252129472,0.7690322580645161,0.6602053520899022,0.863768115942029,0.6930232558139535,0.3539878293668879,0.8492874728957558,0.741527181158347
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,65,310,78,0.6923076923076923,0.7777777777777778,0.6388888888888888,0.7777777777777778,0.7777777777777778,0.2777777777777778,0.8012246668857351,0.6670524691358025
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,72,297,75,0.5066666666666667,0.6105263157894737,0.4688995215311005,0.8787878787878788,0.4677419354838709,0.1220507842197336,0.8738879458545636,0.5856079404466501
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TEMİZLENMİŞ,111,68,88,23,0.7391304347826086,0.8421052631578947,0.5460526315789473,0.8421052631578947,0.8421052631578947,0.0921052631578947,0.8819435399552611,0.5394736842105262
